Sample,plant.ID,Target,Cq,group,,,
I.Unif.15.2nd,Unif 15,ACT7,21.26551819,unifested,,,
I.Unif.18.2nd,Unif 18,ACT7,20.45330671,infested,,,
I.Unif.19.2nd,Unif 19,ACT7,20.91594481,unifested,,,
I.Unif.2.4th,Unif 2,ACT7,20.98599027,infested,,,
I.Unif.20.2nd,Unif 20,ACT7,21.49909309,unifested,,,
I.Unif.23.2nd,Unif 23,ACT7,22.43743384,unifested,,,
I.Unif.24.2nd,Unif 24,ACT7,23.69073259,unifested,,,
I.Unif.3.2nd,Unif 3,ACT7,20.28574997,unifested,,,
I.Unif.7.2nd,Unif 7,ACT7,20.52182624,unifested,,,
I.Unif.7.4th,Unif 7,ACT7,20.80864361,unifested,,,
I.Unif.8.2nd,Unif 8,ACT7,22.20705562,unifested,,,
I.Unif.9.2nd,Unif 9,ACT7,20.50283714,infested,,,
Unif.21.2nd,21 2nd,ACT7,21.00451792,infested,,,
I.GFP.10.2nd,GFP 10,ACT7,19.7046568,infested,,,
I.GFP.12.2nd,GFP 12,ACT7,21.2885002,unifested,,,
I.GFP.13.2nd,GFP 13,ACT7,20.64527204,infested,,,
I.GFP.13.4th,GFP 13,ACT7,21.05895008,infested,,,
I.GFP.14.2nd,GFP 14,ACT7,20.54125496,infested,,,
I.GFP.14.4th,GFP 14,ACT7,25.60807698,infested,,,
I.GFP.15.2nd,GFP 15,ACT7,21.32090511,unifested,,,
I.GFP.18.2nd,GFP 18,ACT7,20.57899922,infested,,,
I.GFP.19.4th,GFP 19,ACT7,27.10467838,uninfested,,,
I.GFP.20.2nd,GFP 20,ACT7,20.21845789,uninfested,,,
I.GFP.25.2nd,GFP 25,ACT7,20.13728937,infested,,,
I.GFP.26.2nd,GFP 26,ACT7,21.58653404,infested,,,
I.GFP.28.2nd,GFP 28,ACT7,23.87479838,uninfested,,,
I.GFP.3.4th,GFP 3,ACT7,21.55990409,uninfested,,,
I.GFP.4.2nd,GFP 4,ACT7,21.33458038,uninfested,,,
I.GFP.7.4th,GFP 7,ACT7,22.35163786,uninfested,,,
I.GFP.8.2nd,GFP 8,ACT7,22.72345293,uninfested,,,
I.GFP1.2nd,GFP 1,ACT7,20.08125412,infested,,,
I.HYD.1.2nd,HYD 1,ACT7,19.90160344,infested,,,
I.HYD.1.4th,HYD 1,ACT7,23.37852592,infested,,,
I.HYD.10.2nd,HYD 10,ACT7,20.40577364,infested,,,
I.HYD.10.4th,HYD 10,ACT7,21.00150163,infested,,,
I.HYD.11.2nd,HYD 11,ACT7,23.02720544,uninfested,,,
I.HYD.11.4th,HYD 11,ACT7,21.67797103,uninfested,,,
I.HYD.12.2nd,HYD 12,ACT7,21.27638054,uninfested,,,
I.HYD.12.4th,HYD 12,ACT7,28.42866688,uninfested,,,
I.HYD.13.2nd,HYD 13,ACT7,19.95857425,infested,,,
I.HYD.13.4th,HYD 13,ACT7,21.29535615,infested,,,
I.HYD.15.2nd,HYD 15,ACT7,20.55656208,uninfested,,,
I.HYD.15.4th,HYD 15,ACT7,20.40135032,uninfested,,,
I.HYD.16.2nd,HYD 16,ACT7,21.38219891,uninfested,,,
I.HYD.17.2nd,HYD 17,ACT7,23.44894097,infested,,,
I.HYD.18.2nd,HYD 18,ACT7,20.28918524,infested,,,
I.HYD.18.4th,HYD 18,ACT7,22.13388359,infested,,,
I.HYD.19.4th,HYD 19,ACT7,21.6732732,uninfested,,,
I.HYD.2.2nd,HYD 2,ACT7,21.01884449,infested,,,
I.HYD.2.4th,HYD 2,ACT7,20.79929176,infested,,,
I.HYD.20.2nd,HYD 20,ACT7,23.00627115,uninfested,,,
I.HYD.20.4th,HYD 20,ACT7,27.38924767,uninfested,,,
I.HYD.21.2nd,HYD 21,ACT7,21.27038773,infested,,,
I.HYD.21.4th,HYD 21,ACT7,22.65674254,infested,,,
I.HYD.22.2nd,HYD 22,ACT7,23.79530752,infested,,,
I.HYD.22.4th,HYD 22,ACT7,21.40918022,infested,,,
I.HYD.23.2nd,HYD 23,ACT7,20.2952616,uninfested,,,
I.HYD.23.4th,HYD 23,ACT7,19.5600425,uninfested,,,
I.HYD.24.2nd,HYD 24,ACT7,20.91515225,uninfested,,,
I.HYD.25.2nd,HYD 25,ACT7,23.58734379,infested,,,
I.HYD.26.2nd,HYD 26,ACT7,20.49589084,infested,,,
I.HYD.26.4th,HYD 26,ACT7,20.2294558,infested,,,
I.HYD.27.2nd,HYD 27,ACT7,20.26594755,uninfested,,,
I.HYD.27.4th,HYD 27,ACT7,20.67036651,uninfested,,,
I.HYD.28.2nd,HYD 28,ACT7,21.85235478,uninfested,,,
I.HYD.28.4th,HYD 28,ACT7,23.70109786,uninfested,,,
I.HYD.3.2nd,HYD 3,ACT7,20.80651584,uninfested,,,
I.HYD.3.4th,HYD 3,ACT7,25.75131854,uninfested,,,
I.HYD.4.2nd,HYD 4,ACT7,21.42555312,uninfested,,,
I.HYD.4.4th,HYD 4,ACT7,22.07515365,uninfested,,,
I.HYD.5.2nd,HYD 5,ACT7,21.56070163,infested,,,
I.HYD.5.4th,HYD 5,ACT7,20.96988043,infested,,,
I.HYD.6.2nd,HYD 6,ACT7,21.82834954,infested,,,
I.HYD.6.4th,HYD 6,ACT7,20.8752277,infested,,,
I.HYD.7.2nd,HYD 7,ACT7,20.52056957,uninfested,,,
I.HYD.8.2nd,HYD 8,ACT7,21.33189081,uninfested,,,
I.HYD.9.2nd,HYD 9,ACT7,21.1843812,infested,,,
I.Unif.11.4th,Unif 11,ACT7,21.44313193,uninfested,,,
I.Unif.15.4th,Unif 15,ACT7,19.38946544,uninfested,,,
I.Unif.16.2ndd,Unif 16,ACT7,23.2525637,uninfested,,,
I.Unif.16.4th,Unif 16,ACT7,26.61577042,uninfested,,,
I.Unif.17.2nd,Unif 17,ACT7,21.20383362,infested,,,
I.Unif.17.4th,Unif 17,ACT7,20.53876327,infested,,,
I.Unif.18.4th,Unif 18,ACT7,22.53402362,infested,,,
I.Unif.2.2nd,Unif 2,ACT7,22.03049652,infested,,,
I.Unif.20.4th,Unif 20,ACT7,30.92825118,uninfested,,,
I.Unif.21.4th,Unif 21,ACT7,23.27726865,infested,,,
I.Unif.24.4th,Unif 24,ACT7,21.23007123,uninfested,,,
I.Unif.3.4th,Unif 3,ACT7,19.63101849,uninfested,,,
I.Unif.5.2nd,Unif 5,ACT7,22.54765632,infested,,,
I.Unif.6.2nd,Unif 6,ACT7,20.58800198,infested,,,
I.Unif.8.4th,Unif 8,ACT7,20.79939787,uninfested,,,
I.Unif.9.4th,Unif 9,ACT7,21.33352932,infested,,,
I.GFP.3.2nd,GFP 3,ACT7,22.01933646,2nd,,,
I.GFP.10.4th,GFP 10,ACT7,21.0317414,4th,,,
I.GFP.11.2nd,GFP 11,ACT7,20.23966976,2nd,,,
I.GFP.11.4th,GFP 11,ACT7,20.12914905,4th,,,
I.GFP.16.2nd,GFP 16,ACT7,20.40786468,2nd,,,
I.GFP.16.4th,GFP 16,ACT7,23.06034004,4th,,,
I.GFP.17.2nd,GFP 17,ACT7,22.54702922,2nd,,,
I.GFP.18.4th,GFP 18,ACT7,21.06003643,4th,,,
I.GFP.19.2nd,GFP 19,ACT7,20.48244035,2nd,,,
I.GFP.2.2nd,GFP 2,ACT7,21.33276715,2nd,,,
I.GFP.21.2nd,GFP 21,ACT7,20.8446044,2nd,,,
I.GFP.22.2nd,GFP 22,ACT7,20.36364741,2nd,,,
I.GFP.22.4th,GFP 22,ACT7,21.97936518,4th,,,
