Sample	Detector	vigs_condition	aphid_status	leaf	dpi
I.Unif.20.2nd	ACT7	uninfiltrated	unifested	2nd	twenty-one
I.Unif.23.2nd	ACT7	uninfiltrated	unifested	2nd	fourteen
I.Unif.24.2nd	ACT7	uninfiltrated	unifested	2nd	twenty-one
I.Unif.3.2nd	ACT7	uninfiltrated	unifested	2nd	fourteen
I.Unif.7.2nd	ACT7	uninfiltrated	unifested	2nd	fourteen
I.Unif.7.4th	ACT7	uninfiltrated	unifested	4th	fourteen
I.Unif.8.2nd	ACT7	uninfiltrated	unifested	2nd	twenty-one
I.Unif.9.2nd	ACT7	uninfiltrated	infested	2nd	fourteen
Unif.21.2nd	ACT7	uninfiltrated	infested	2nd	fourteen
I.Unif.1.2nd	PP2A1	uninfiltrated	infested	2nd	fourteen
I.Unif.1.4th	PP2A1	uninfiltrated	infested	4th	fourteen
I.Unif.11.2nd	PP2A1	uninfiltrated	unifested	2nd	fourteen
I.Unif.12.2nd	PP2A1	uninfiltrated	unifested	2nd	twenty-one
I.Unif.12.4th	PP2A1	uninfiltrated	unifested	4th	twenty-one
I.Unif.13.2nd	PP2A1	uninfiltrated	infested	2nd	fourteen
I.Unif.15.2nd	PP2A1	uninfiltrated	unifested	2nd	fourteen
I.Unif.18.2nd	PP2A1	uninfiltrated	infested	2nd	twenty-one
I.Unif.19.2nd	PP2A1	uninfiltrated	unifested	2nd	fourteen
I.Unif.2.4th	PP2A1	uninfiltrated	infested	4th	twenty-one
I.Unif.20.2nd	PP2A1	uninfiltrated	unifested	2nd	twenty-one
I.Unif.23.2nd	PP2A1	uninfiltrated	unifested	2nd	fourteen
I.Unif.24.2nd	PP2A1	uninfiltrated	unifested	2nd	twenty-one
I.Unif.3.2nd	PP2A1	uninfiltrated	unifested	2nd	fourteen
I.Unif.7.2nd	PP2A1	uninfiltrated	unifested	2nd	fourteen
I.Unif.7.4th	PP2A1	uninfiltrated	unifested	4th	fourteen
I.Unif.8.2nd	PP2A1	uninfiltrated	unifested	2nd	twenty-one
I.Unif.9.2nd	PP2A1	uninfiltrated	infested	2nd	fourteen
Unif.21.2nd	PP2A1	uninfiltrated	infested	2nd	fourteen
I.Unif.1.2nd	TMN5	uninfiltrated	infested	2nd	fourteen
I.Unif.1.4th	TMN5	uninfiltrated	infested	4th	fourteen
I.Unif.11.2nd	TMN5	uninfiltrated	unifested	2nd	fourteen
I.Unif.12.2nd	TMN5	uninfiltrated	unifested	2nd	twenty-one
I.Unif.12.4th	TMN5	uninfiltrated	unifested	4th	twenty-one
I.Unif.13.2nd	TMN5	uninfiltrated	infested	2nd	fourteen
I.Unif.15.2nd	TMN5	uninfiltrated	unifested	2nd	fourteen
I.Unif.18.2nd	TMN5	uninfiltrated	infested	2nd	twenty-one
I.Unif.19.2nd	TMN5	uninfiltrated	unifested	2nd	fourteen
I.Unif.2.4th	TMN5	uninfiltrated	infested	4th	twenty-one
